     1	16.870  -98.930   6.5 3.7  ; 2 ;  143377.0 ;  2020/06/20,05:17:36.00 2020/06/21,21:07:13.00 ;  19694300 19704200
     2	16.405  -98.469   3.2 3.8  ; 2 ;  198869.0 ;  2020/04/21,04:00:48.00 2020/04/23,11:15:17.00 ;  19314800 19332500
     3	16.608  -98.464   2.3 3.6  ; 2 ;  1513.0 ;  2020/04/03,01:54:32.00 2020/04/03,02:19:45.00 ;  19195700 19196200
     4	16.431  -98.885   6.2 3.5  ; 2 ;  900.0 ;  2020/03/30,07:55:57.00 2020/03/30,08:10:57.00 ;  19168900 19169700
     5	16.427  -98.876   5.0 3.3  ; 2 ;  1459043.0 ;  2020/03/30,07:03:29.00 2020/04/16,04:20:52.00 ;  19168100 19282700
     6	16.257  -98.103  10.2 3.6  ; 2 ;  864571.0 ;  2020/03/02,11:25:47.00 2020/03/12,11:35:18.00 ;  18966700 19039900
     7	16.523  -98.453  27.9 3.6  ; 2 ;  1216631.0 ;  2019/12/14,06:16:01.00 2019/12/28,08:13:12.00 ;  17894800 17996500
     8	16.268  -98.122  12.0 3.5  ; 2 ;  198.0 ;  2019/12/13,09:51:36.00 2019/12/13,09:54:54.00 ;  17888800 17888900
     9	16.267  -98.257   9.2 3.8  ; 2 ;  360635.0 ;  2019/11/27,07:42:28.00 2019/12/01,11:53:03.00 ;  17769300 17801200
    10	16.319  -98.234  12.8 3.6  ; 2 ;  3524.0 ;  2019/10/24,12:55:50.00 2019/10/24,13:54:34.00 ;  17530400 17530900
    11	16.336  -98.232  14.1 3.6  ; 2 ;  20252823.0 ;  2019/08/23,23:11:31.00 2020/04/14,08:58:34.00 ;  17123500 19272200
    12	16.588  -99.266   4.8 3.8  ; 2 ;  1929.0 ;  2019/08/14,07:14:35.00 2019/08/14,07:46:44.00 ;  17060200 17060500
    13	16.268  -98.113  11.5 3.6  ; 2 ;  25316746.0 ;  2019/07/12,18:20:23.00 2020/04/30,18:46:09.00 ;  16840000 19382300
    14	16.268  -98.093  11.4 3.5  ; 2 ;  9871893.0 ;  2019/06/24,18:29:51.00 2019/10/17,00:41:24.00 ;  16723900 17475600
    15	16.285  -98.075  10.5 3.7  ; 2 ;  809.0 ;  2019/06/17,06:26:50.00 2019/06/17,06:40:19.00 ;  16672300 16672600
    16	16.320  -98.090  16.5 3.2  ; 2 ;  3563615.0 ;  2019/05/18,13:15:24.00 2019/06/28,19:08:59.00 ;  16488100 16751600
    17	16.700  -96.545  60.0 4.0  ; 2 ;  5944492.0 ;  2019/05/13,13:51:45.00 2019/07/21,09:06:37.00 ;  16462500 16901400
    18	16.306  -98.295   8.8 3.9  ; 2 ;  31187652.0 ;  2019/04/16,14:42:56.00 2020/04/11,13:57:08.00 ;  16277700 19253800
    19	16.013  -98.708  16.0 3.5  ; 2 ;  12042716.0 ;  2019/04/01,18:36:33.00 2019/08/19,03:48:29.00 ;  16171300 17095300
    20	15.947  -97.977   9.0 3.5  ; 3 ;  477.0 51111.0 ;  2019/03/28,23:18:30.00 2019/03/28,23:26:27.00 2019/03/29,13:38:18.00 ;  16142900 16143000 16147300
    21	15.851  -97.078   4.0 3.8  ; 2 ;  29257866.0 ;  2019/03/27,19:47:51.00 2020/02/29,10:58:57.00 ;  16131500 18949700
    22	16.880 -100.455   9.5 3.8  ; 2 ;  24987.0 ;  2019/03/23,08:15:57.00 2019/03/23,15:12:24.00 ;  16090100 16092700
    23	16.220  -98.580  12.0 3.5  ; 2 ;  1582.0 ;  2019/03/22,11:46:43.00 2019/03/22,12:13:05.00 ;  16084200 16084500
    24	16.007  -97.615  14.1 3.5  ; 2 ;  28741417.0 ;  2019/03/18,00:06:43.00 2020/02/13,15:50:20.00 ;  16039800 18826800
    25	16.245  -98.035   8.5 3.5  ; 2 ;  334.0 ;  2019/03/09,00:57:36.00 2019/03/09,01:03:10.00 ;  15965900 15966000
    26	16.300  -97.900   8.5 3.3  ; 2 ;  3622.0 ;  2019/03/04,01:18:58.00 2019/03/04,02:19:20.00 ;  15921200 15921800
    27	16.317  -98.095  16.1 3.5  ; 2 ;  28817812.0 ;  2019/02/09,12:32:20.00 2020/01/09,01:29:12.00 ;  15736900 18084800
    28	16.225  -97.975  20.5 3.5  ; 2 ;  345097.0 ;  2019/01/11,02:30:59.00 2019/01/15,02:22:36.00 ;  15479200 15514100
    29	16.325  -97.930   5.5 3.5  ; 2 ;  116252.0 ;  2018/12/18,16:28:03.00 2018/12/20,00:45:35.00 ;  15299600 15308500
    30	16.294  -98.089  12.6 3.8  ; 2 ;  25798797.0 ;  2018/12/14,17:10:16.00 2019/10/09,07:30:13.00 ;  15264000 17416500
    31	16.300  -97.890  13.0 3.5  ; 2 ;  6498424.0 ;  2018/12/09,15:52:12.00 2019/02/22,20:59:16.00 ;  15224400 15839100
    32	16.320  -97.860   5.3 3.6  ; 3 ;  22583.0 147047.0 ;  2018/11/28,17:55:55.00 2018/11/29,00:12:18.00 2018/11/30,17:03:05.00 ;  15136900 15138900 15152500
    33	16.293  -97.877   4.7 3.8  ; 3 ;  25283.0 146498.0 ;  2018/11/28,17:18:41.00 2018/11/29,00:20:04.00 2018/11/30,17:01:42.00 ;  15136700 15139000 15152400
    34	16.445  -98.305  17.0 3.8  ; 2 ;  7794.0 ;  2018/11/22,07:05:50.00 2018/11/22,09:15:44.00 ;  15085100 15086600
    35	16.035  -97.660  16.5 3.5  ; 2 ;  130.0 ;  2018/11/17,17:16:07.00 2018/11/17,17:18:17.00 ;  15049400 15049500
    36	16.250  -98.100   8.3 3.6  ; 3 ;  1571.0 2397356.0 ;  2018/11/17,14:44:31.00 2018/11/17,15:10:42.00 2018/12/15,09:06:38.00 ;  15048100 15048400 15269500
    37	16.260  -98.140  11.5 3.4  ; 2 ;  1448105.0 ;  2018/11/16,05:05:27.00 2018/12/02,23:20:32.00 ;  15038900 15170800
    38	16.040  -98.370   6.5 3.5  ; 2 ;  1924578.0 ;  2018/11/06,21:28:04.00 2018/11/29,04:04:22.00 ;  14981700 15140300
    39	16.080  -97.190  25.0 3.5  ; 2 ;  563.0 ;  2018/11/01,18:48:17.00 2018/11/01,18:57:40.00 ;  14943100 14943200
    40	16.005  -97.940   6.5 3.2  ; 2 ;  21441946.0 ;  2018/10/31,23:14:55.00 2019/07/07,03:20:41.00 ;  14936800 16802200
    41	16.325  -97.830   5.0 3.6  ; 2 ;  6243641.0 ;  2018/10/29,16:27:15.00 2019/01/09,22:47:56.00 ;  14922200 15469200
    42	16.250  -98.105  11.1 3.5  ; 2 ;  824.0 ;  2018/10/26,11:06:58.00 2018/10/26,11:20:42.00 ;  14897000 14897200
